Date,Open,High,Low,Close,Adj Close,Volume
7-2-1981,0.459821,0.462054,0.459821,0.459821,0.363351,7571200
7-6-1981,0.448661,0.448661,0.444196,0.444196,0.351004,4132800
7-7-1981,0.448661,0.453125,0.448661,0.448661,0.354532,3959200
7-8-1981,0.466518,0.46875,0.466518,0.466518,0.368643,4155200
7-9-1981,0.433036,0.433036,0.430804,0.430804,0.340421,8220800
7-10-1981,0.399554,0.399554,0.397321,0.397321,0.313964,13792800
7-13-1981,0.40625,0.408482,0.40625,0.40625,0.321019,11435200
7-14-1981,0.424107,0.428571,0.424107,0.424107,0.33513,4944800
7-15-1981,0.435268,0.4375,0.435268,0.435268,0.343949,2738400
7-16-1981,0.446429,0.450893,0.446429,0.446429,0.352768,3808000
7-17-1981,0.462054,0.464286,0.462054,0.462054,0.365115,4956000
7-20-1981,0.433036,0.433036,0.430804,0.430804,0.340421,5913600
7-21-1981,0.430804,0.430804,0.428571,0.428571,0.338657,7985600
7-22-1981,0.408482,0.408482,0.404018,0.404018,0.319255,5667200
7-23-1981,0.415179,0.417411,0.415179,0.415179,0.328074,8612800
7-24-1981,0.428571,0.430804,0.428571,0.428571,0.338657,7212800
7-27-1981,0.446429,0.448661,0.446429,0.446429,0.352768,4334400
7-28-1981,0.433036,0.433036,0.430804,0.430804,0.340421,5712000
7-29-1981,0.426339,0.426339,0.424107,0.424107,0.33513,3875200
7-30-1981,0.439732,0.444196,0.439732,0.439732,0.347477,2475200
7-31-1981,0.446429,0.448661,0.446429,0.446429,0.352768,2738400
8-3-1981,0.446429,0.446429,0.441964,0.441964,0.34924,3108000
8-4-1981,0.448661,0.450893,0.448661,0.448661,0.354532,7918400
8-5-1981,0.462054,0.464286,0.462054,0.462054,0.365115,4373600
8-6-1981,0.453125,0.453125,0.450893,0.450893,0.356296,2632000
8-7-1981,0.450893,0.453125,0.450893,0.450893,0.356296,2301600
8-11-1981,0.441964,0.441964,0.4375,0.4375,0.345713,17864000
8-12-1981,0.430804,0.430804,0.428571,0.428571,0.338657,6568800
8-13-1981,0.417411,0.417411,0.415179,0.415179,0.328074,6871200
8-14-1981,0.412946,0.412946,0.408482,0.408482,0.322783,6048000
8-17-1981,0.399554,0.399554,0.395089,0.395089,0.3122,4726400
8-18-1981,0.390625,0.390625,0.386161,0.386161,0.305144,4250400
8-19-1981,0.386161,0.386161,0.381696,0.381696,0.301617,5168800
8-20-1981,0.386161,0.388393,0.386161,0.386161,0.305144,4278400
8-21-1981,0.363839,0.363839,0.359375,0.359375,0.283978,10477600
8-24-1981,0.339286,0.339286,0.337054,0.337054,0.26634,5768000
8-25-1981,0.345982,0.348214,0.345982,0.345982,0.273395,10175200
8-26-1981,0.341518,0.341518,0.339286,0.339286,0.268104,8400000
8-27-1981,0.341518,0.34375,0.341518,0.341518,0.269868,6479200
8-28-1981,0.359375,0.361607,0.359375,0.359375,0.283978,9508800
8-31-1981,0.359375,0.361607,0.359375,0.359375,0.283978,10236800
9-1-1981,0.381696,0.383929,0.381696,0.381696,0.301617,9256800
9-2-1981,0.388393,0.390625,0.388393,0.388393,0.306908,4844000
9-3-1981,0.372768,0.372768,0.368304,0.368304,0.291034,9368800
9-4-1981,0.366071,0.366071,0.363839,0.363839,0.287506,3813600
9-8-1981,0.354911,0.354911,0.352679,0.352679,0.278687,6361600
9-9-1981,0.352679,0.354911,0.352679,0.352679,0.278687,7632800
9-10-1981,0.354911,0.357143,0.354911,0.354911,0.280451,8702400
9-11-1981,0.352679,0.352679,0.350446,0.350446,0.276923,4384800
9-14-1981,0.341518,0.341518,0.339286,0.339286,0.268104,6921600
9-15-1981,0.332589,0.332589,0.330357,0.330357,0.261048,4877600
9-16-1981,0.325893,0.325893,0.323661,0.323661,0.255757,4838400
9-17-1981,0.316964,0.316964,0.314732,0.314732,0.248702,4844000
9-18-1981,0.316964,0.319196,0.316964,0.316964,0.250465,6580000
9-21-1981,0.319196,0.321429,0.319196,0.319196,0.252229,12258400
9-22-1981,0.303571,0.303571,0.301339,0.301339,0.238119,11855200
9-23-1981,0.299107,0.299107,0.294643,0.294643,0.232827,7050400
9-24-1981,0.294643,0.294643,0.292411,0.292411,0.231063,4575200
9-25-1981,0.258929,0.258929,0.254464,0.254464,0.201078,8652000
